epoch,TP,FN,FP,TN,Loss,Accuracy,MCC,Specificity,Precision,Recall,F1
1,661.0,612.0,1767.0,6670.0,0.4957625925540924,0.754994850669413,0.24146585199331216,0.7905653668365533,0.27224052718286657,0.5192458758837392,0.35720075655228317
2,665.0,608.0,1400.0,7037.0,0.4554305076599121,0.7932028836251287,0.29400916963092355,0.8340642408439018,0.3220338983050847,0.5223880597014925,0.39844218094667466
3,697.0,576.0,1379.0,7058.0,0.4426248570283254,0.7986611740473738,0.3161832203818656,0.8365532772312433,0.3357418111753372,0.5475255302435192,0.41624365482233505
4,776.0,497.0,1577.0,6860.0,0.4631020526091258,0.7864057672502575,0.33292557488081254,0.8130852198648809,0.32979175520611986,0.6095836606441477,0.42801985659128516
5,786.0,487.0,1597.0,6840.0,0.46033766865730286,0.7853759011328527,0.3358017398296095,0.8107147090197938,0.3298363407469576,0.617439120188531,0.4299781181619256
6,834.0,439.0,1418.0,7019.0,0.4347710857788722,0.8087538619979403,0.3895019803421456,0.8319307810833234,0.3703374777975133,0.655145326001571,0.47319148936170213
7,819.0,454.0,1470.0,6967.0,0.4447648455699285,0.8018537590113285,0.37303273159748485,0.825767452886097,0.3577981651376147,0.6433621366849961,0.45985401459854014
8,906.0,367.0,1497.0,6940.0,0.4273377686738968,0.808032955715757,0.4178535716917172,0.8225672632452293,0.37702871410736577,0.7117046347211312,0.4929270946681175
9,923.0,350.0,1468.0,6969.0,0.4137997587521871,0.8127703398558187,0.431712027099862,0.8260045039706057,0.3860309493935592,0.7250589159465829,0.50382096069869
10,909.0,364.0,1367.0,7070.0,0.4100999653339386,0.82173017507724,0.4398239688462222,0.8379755837382956,0.3993848857644991,0.7140612725844462,0.5122569737954353
11,966.0,307.0,1491.0,6946.0,0.41000889738400775,0.8148300720906282,0.45191442379003033,0.8232784164987554,0.39316239316239315,0.7588373919874313,0.5179624664879356
12,938.0,335.0,1430.0,7007.0,0.4188092549641927,0.8182286302780638,0.4459248658376472,0.8305084745762712,0.39611486486486486,0.7368421052631579,0.5152430650920077
13,924.0,349.0,1371.0,7066.0,0.4083781212568283,0.8228630278063852,0.4475447584898909,0.8375014815692782,0.40261437908496733,0.7258444619010213,0.5179372197309418
14,976.0,297.0,1235.0,7202.0,0.3706570009390513,0.8422245108135943,0.49925638298028013,0.8536209553158706,0.4414292175486205,0.7666928515318147,0.5602755453501722
15,953.0,320.0,1408.0,7029.0,0.40709904332955676,0.8220391349124614,0.45769485388960507,0.833116036505867,0.40364252435408726,0.7486252945797329,0.5244909190974133
16,999.0,274.0,1450.0,6987.0,0.40826934973398843,0.8224510813594232,0.47632577567338125,0.8281379637311841,0.4079216006533279,0.7847604084838963,0.5368081676518001
17,1053.0,220.0,1554.0,6883.0,0.4271075834830602,0.8173017507723996,0.4896906714892623,0.815811307336731,0.4039125431530495,0.8271798900235664,0.5427835051546391
18,984.0,289.0,1192.0,7245.0,0.36058879892031354,0.8474768280123584,0.511297013617029,0.8587175536328079,0.4522058823529412,0.7729772191673213,0.5706001739634676
19,1024.0,249.0,1311.0,7126.0,0.3847630133231481,0.839340885684861,0.512550363953589,0.8446130141045395,0.43854389721627407,0.8043990573448547,0.5676274944567627
20,1041.0,232.0,1355.0,7082.0,0.39861299296220143,0.8365602471678681,0.5144612467253976,0.8393978902453478,0.43447412353923204,0.8177533385703064,0.5674570727718724
21,1029.0,244.0,1165.0,7272.0,0.3619269609451294,0.8548918640576725,0.540915974815002,0.8619177432736754,0.46900638103919784,0.8083267871170463,0.5935967695413903
22,1045.0,228.0,1233.0,7204.0,0.3919134229421616,0.8495365602471678,0.5374321963758568,0.8538580064003792,0.45873573309920984,0.8208955223880597,0.5885666009574768
23,1051.0,222.0,1504.0,6933.0,0.4345286558071772,0.8222451081359423,0.496186198989638,0.8217375844494489,0.41135029354207436,0.8256087981146897,0.5491118077324973
24,1028.0,245.0,1233.0,7204.0,0.40262321730454764,0.8477857878475799,0.5281686924937709,0.8538580064003792,0.45466607695709865,0.8075412411626081,0.5817770232031693
25,1079.0,194.0,1418.0,7019.0,0.42617703676223756,0.8339855818743563,0.5247503461712807,0.8319307810833234,0.43211854225070084,0.8476040848389631,0.5724137931034483
26,1065.0,208.0,1282.0,7155.0,0.4179600407679876,0.8465499485066942,0.5397555808899286,0.8480502548299158,0.4537707711972731,0.8366064414768264,0.5883977900552486
27,1053.0,220.0,1444.0,6993.0,0.4582705895105998,0.8286302780638517,0.5065986541525953,0.8288491169847102,0.42170604725670807,0.8271798900235664,0.5586206896551724
28,1073.0,200.0,1197.0,7240.0,0.40129551390806834,0.8561277033985581,0.559031907172207,0.8581249259215361,0.4726872246696035,0.842890809112333,0.6057013830087496
29,1061.0,212.0,1129.0,7308.0,0.3827692856391271,0.8618949536560248,0.5650116687028728,0.8661846627948323,0.48447488584474885,0.8334642576590731,0.6127634998556165
30,1076.0,197.0,1304.0,7133.0,0.43472076853116354,0.8454170957775489,0.5419397625350799,0.84544269290032,0.45210084033613446,0.845247446975648,0.5891048453326033
31,1074.0,199.0,1140.0,7297.0,0.3876855880022049,0.8621009268795057,0.5700061838663757,0.8648808818300344,0.48509485094850946,0.8436763550667714,0.6160022942357327
32,1081.0,192.0,1178.0,7259.0,0.41530432005723317,0.858908341915551,0.5667964370958237,0.8603769112243689,0.4785303231518371,0.8491751767478397,0.6121177802944507
33,1061.0,212.0,1003.0,7434.0,0.36215193569660187,0.8748712667353244,0.5895070421720426,0.8811188811188811,0.5140503875968992,0.8334642576590731,0.6359005094396164
34,1051.0,222.0,1043.0,7394.0,0.3785342375437419,0.8697219361483007,0.5760832894070733,0.8763778594287069,0.5019102196752626,0.8256087981146897,0.6242946242946243
35,1068.0,205.0,1110.0,7327.0,0.39885858694712323,0.864572605561277,0.5723860241741354,0.8684366480976651,0.4903581267217631,0.8389630793401414,0.618951028687337
36,1080.0,193.0,1195.0,7242.0,0.4143725444873174,0.8570545829042224,0.5631756183994606,0.8583619770060448,0.4747252747252747,0.8483896307934015,0.608793686583991
37,1083.0,190.0,1246.0,7191.0,0.4383368690808614,0.8521112255406798,0.55572559062226,0.8523171743510727,0.46500644053241735,0.8507462686567164,0.6013325930038868
38,1046.0,227.0,910.0,7527.0,0.37251761655012766,0.8829042224510814,0.600691288248592,0.8921417565485362,0.5347648261758691,0.821681068342498,0.647878600185816
39,1042.0,231.0,939.0,7498.0,0.3774009019136429,0.8795056642636457,0.5923429698948962,0.8887045158231599,0.5259969712266532,0.8185388845247447,0.6404425322679779
40,1060.0,213.0,987.0,7450.0,0.37409314115842185,0.8764160659114315,0.592212090349524,0.8830152897949508,0.5178309721543722,0.8326787117046347,0.6385542168674698
