Chemical Classes,total Uncertainty,Aleeatoric Uncertainty,Epistemic Uncertainty,Accuracy,Specificity,Precision,Sensitivity,F1
Acyl_halides,8.01408987e-07,8.01408987e-07,0.0,1.0,1.0,nan,nan,nan
Anthracenes,0.001499870832026345,0.001499870832026345,-6.309625423545455e-19,1.0,1.0,nan,nan,nan
Azobenzenes,0.0370374937431459,0.0370374877831459,5.959009308500001e-09,0.8,0.8,0.0,nan,0.0
Azoles,0.0016658825462,0.0016658825462,-4.5474735e-13,1.0,1.0,nan,nan,nan
Azolidines,0.0821388438,0.0821388438,0.0,1.0,nan,1.0,1.0,1.0
Benzene_and_substituted_derivatives,0.02369423875504571,0.023694239347441862,-5.960622267774857e-10,0.6923076923076923,1.0,1.0,0.36,0.5294117647058824
Carboxylic_acids_and_derivatives,0.053308798114547064,0.05330879460866471,3.533440429447059e-09,0.23529411764705882,1.0,1.0,0.07142857142857142,0.13333333333333333
Cinnamic_acids_and_derivatives,0.0833689496,0.0833689496,0.0,0.0,nan,nan,0.0,0.0
Depsides_and_depsidones,0.0056425619134999995,0.0056425619134999995,0.0,0.0,nan,nan,0.0,0.0
Diazanaphthalenes,0.00151755384671,0.00151749424171,5.9604645e-08,0.5,0.5,0.0,nan,0.0
Diazinanes,0.0034089083111059843,0.0034089083111059843,-2.910383e-12,0.6,1.0,nan,0.0,0.0
Diazines,0.0185672548,0.0185673144,-5.9604645e-08,1.0,nan,1.0,1.0,1.0
Dibenzocycloheptenes,2.7036233e-06,2.7036233e-06,0.0,1.0,1.0,nan,nan,nan
Dioxanes,4.13300221e-08,4.13300221e-08,0.0,1.0,1.0,nan,nan,nan
Fatty_Acyls,0.03885967303539975,0.03885967303539975,0.0,0.0,nan,nan,0.0,0.0
Furofurans,4.34975555e-05,4.34975555e-05,0.0,0.0,nan,nan,0.0,0.0
Indoles_and_derivatives,0.02537100583855756,0.02537100583855756,-4.616894231599351e-18,0.8333333333333334,1.0,nan,0.0,0.0
Isothiocyanates,1.01551623e-05,1.01551623e-05,0.0,1.0,1.0,nan,nan,nan
Keto_acids_and_derivatives,0.0060974837475,0.0060974837475,0.0,0.0,nan,nan,0.0,0.0
Linear_1_3-diarylpropanoids,2.00218366e-08,2.00218366e-08,0.0,1.0,1.0,nan,nan,nan
Naphthacenes,0.00538094109,0.00538094109,1.8189894e-12,1.0,1.0,nan,nan,nan
Naphthalenes,0.02759804223790127,0.02759804223790127,-3.7269449124999997e-20,0.75,0.8333333333333334,0.5,0.5,0.5
Organic_carbonic_acids_and_derivatives,0.249011546,0.249011546,0.0,1.0,nan,1.0,1.0,1.0
Organic_phosphines_and_derivatives,0.000718672469,0.000718612864,5.9604645e-08,1.0,nan,1.0,1.0,1.0
Organic_phosphoric_acids_and_derivatives,0.000805944845,0.000805944845,5.6843419e-14,0.0,nan,nan,0.0,0.0
Organic_sulfonic_acids_and_derivatives,0.14394658075,0.14394658075,0.0,1.0,1.0,1.0,1.0,1.0
Organometalloid_compounds,0.1087378433,0.1087378433,-1.1641532e-10,0.5,nan,1.0,0.5,0.6666666666666666
Organonitrogen_compounds,0.015159039272105289,0.015159054184605288,-1.4901161249999988e-08,0.625,1.0,1.0,0.4,0.5714285714285714
Organooxygen_compounds,0.059934107858857145,0.059934106858857146,4.989229347397715e-10,0.14285714285714285,nan,1.0,0.14285714285714285,0.25
Oxacyclic_compounds,0.0280668028,0.0280668028,0.0,0.0,nan,nan,0.0,0.0
Oxazinanes,0.0694847628,0.0694847628,0.0,1.0,nan,1.0,1.0,1.0
Phenanthrenes_and_derivatives,6.85695195e-05,6.85695195e-05,0.0,1.0,1.0,nan,nan,nan
Phenol_esters,0.04633245958414334,0.04633245958414334,2.2587545333333332e-21,0.3333333333333333,1.0,nan,0.0,0.0
Phenol_ethers,0.00101474323,0.00101474323,0.0,1.0,1.0,nan,nan,nan
Phenols,0.0030319948470333333,0.003031974977033334,1.9868224473903e-08,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666
Piperidines,0.00034226911295500003,0.00034226911295500003,-8.6736175e-19,1.0,1.0,nan,nan,nan
Prenol_lipids,0.12667853190749997,0.12667853190749997,1.136868375e-13,0.5,nan,1.0,0.5,0.6666666666666666
Pyridines_and_derivatives,0.050687534640000004,0.0506875793425,-4.470348375000001e-08,0.75,nan,1.0,0.75,0.8571428571428571
Quinolines_and_derivatives,0.003450536733961538,0.0034505168672948716,1.9868210263048507e-08,0.8333333333333334,0.8333333333333334,0.0,nan,0.0
Quinuclidines,0.226312444,0.226312444,0.0,0.0,nan,nan,0.0,0.0
Steroids_and_steroid_derivatives,0.000655102078,0.000655161683,-5.9604645e-08,1.0,nan,1.0,1.0,1.0
Stilbenes,8.19245615e-05,8.19245615e-05,0.0,1.0,1.0,nan,nan,nan
Sulfonyls,5.64109223e-06,5.64109223e-06,0.0,1.0,1.0,nan,nan,nan
Tetrahydroisoquinolines,2.08675774e-05,2.08675774e-05,0.0,0.0,nan,nan,0.0,0.0
Tetralins,0.00182912615,0.00182912615,0.0,0.0,nan,nan,0.0,0.0
Thioacetals,0.232059866,0.232059866,0.0,0.0,nan,nan,0.0,0.0
Vinyl_halides,0.000157643677,0.000157643677,0.0,1.0,1.0,nan,nan,nan
none,1.46702861e-09,1.46702861e-09,0.0,0.0,nan,nan,0.0,0.0
